InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,TotalPrice
C556440,10065,HOME DECOR ITEM 65,-3,2023-02-10 17:00:00,18.38,101804,United Kingdom,-55.14
C556440,10099,BAGS ITEM 99,-5,2023-02-10 17:00:00,6.76,101804,United Kingdom,-33.8
C556440,10028,TOYS ITEM 28,-3,2023-02-10 17:00:00,46.04,101804,United Kingdom,-138.12
C555167,10093,HOME DECOR ITEM 93,-5,2023-02-11 09:00:00,80.77,101767,Ireland,-403.84999999999997
C555167,10061,TOYS ITEM 61,-2,2023-02-11 09:00:00,43.8,101767,Ireland,-87.6
C555167,10042,BAGS ITEM 42,-2,2023-02-11 09:00:00,39.61,101767,Ireland,-79.22
C531983,10009,STATIONERY ITEM 9,-6,2023-02-12 18:00:00,15.49,101026,United Kingdom,-92.94
C618007,10110,KITCHENWARE ITEM 110,-6,2023-02-14 09:00:00,28.61,103786,France,-171.66
C517146,10021,STATIONERY ITEM 21,-14,2023-02-14 17:00:00,89.85,100548,United Kingdom,-1257.8999999999999
C517146,10109,STATIONERY ITEM 109,-3,2023-02-14 17:00:00,108.65,100548,United Kingdom,-325.95000000000005
C517146,10025,STATIONERY ITEM 25,-11,2023-02-14 17:00:00,35.34,100548,United Kingdom,-388.74
C517146,10036,GIFTS ITEM 36,-9,2023-02-14 17:00:00,4.15,100548,United Kingdom,-37.35
C631584,10069,GIFTS ITEM 69,-9,2023-02-15 09:00:00,27.5,104221,Netherlands,-247.5
C631584,10036,GIFTS ITEM 36,-11,2023-02-15 09:00:00,4.15,104221,Netherlands,-45.650000000000006
C597084,10036,GIFTS ITEM 36,-9,2023-02-15 15:00:00,4.15,103118,Germany,-37.35
C597084,10094,KITCHENWARE ITEM 94,-2,2023-02-15 15:00:00,49.17,103118,Germany,-98.34
C597084,10111,KITCHENWARE ITEM 111,-5,2023-02-15 15:00:00,40.83,103118,Germany,-204.14999999999998
C597084,10070,LIGHTING ITEM 70,-9,2023-02-15 15:00:00,73.32,103118,Germany,-659.8799999999999
C504125,10048,TOYS ITEM 48,-10,2023-02-15 19:00:00,39.27,100126,United Kingdom,-392.70000000000005
C504125,10006,BAGS ITEM 6,-10,2023-02-15 19:00:00,22.16,100126,United Kingdom,-221.6
C504125,10109,STATIONERY ITEM 109,-3,2023-02-15 19:00:00,108.65,100126,United Kingdom,-325.95000000000005
C539856,10101,STATIONERY ITEM 101,-10,2023-02-18 15:00:00,70.76,101276,France,-707.6
C539856,10086,LIGHTING ITEM 86,-12,2023-02-18 15:00:00,9.12,101276,France,-109.44
C501962,10069,GIFTS ITEM 69,-8,2023-02-19 10:00:00,27.5,100058,France,-220.0
C501962,10060,STATIONERY ITEM 60,-5,2023-02-19 10:00:00,2.06,100058,France,-10.3
C501962,10069,GIFTS ITEM 69,-10,2023-02-19 10:00:00,27.5,100058,France,-275.0
C501962,10111,KITCHENWARE ITEM 111,-10,2023-02-19 10:00:00,40.83,100058,France,-408.29999999999995
C644166,10014,TOYS ITEM 14,-3,2023-02-19 18:00:00,9.02,104599,United Kingdom,-27.06
C656390,10095,SEASONAL ITEM 95,-8,2023-02-21 13:00:00,97.53,104964,Ireland,-780.24
C656390,10061,TOYS ITEM 61,-3,2023-02-21 13:00:00,43.8,104964,Ireland,-131.39999999999998
C595829,10114,TOYS ITEM 114,-11,2023-02-21 17:00:00,7.43,103082,Australia,-81.72999999999999
C595829,10103,SEASONAL ITEM 103,-10,2023-02-21 17:00:00,10.78,103082,Australia,-107.8
C595829,10081,STATIONERY ITEM 81,-6,2023-02-21 17:00:00,60.88,103082,Australia,-365.28000000000003
C595829,10002,GIFTS ITEM 2,-14,2023-02-21 17:00:00,76.0,103082,Australia,-1064.0
C529045,10066,HOME DECOR ITEM 66,-3,2023-02-22 17:00:00,12.74,100953,France,-38.22
C529045,10002,GIFTS ITEM 2,-1,2023-02-22 17:00:00,76.0,100953,France,-76.0
C529045,10062,TOYS ITEM 62,-13,2023-02-22 17:00:00,66.06,100953,France,-858.78
C570305,10020,BAGS ITEM 20,-10,2023-02-23 16:00:00,21.71,102256,United Kingdom,-217.10000000000002
C592994,10115,TOYS ITEM 115,-4,2023-02-24 11:00:00,50.16,102988,Australia,-200.64
C592994,10047,HOME DECOR ITEM 47,-3,2023-02-24 11:00:00,65.32,102988,Australia,-195.95999999999998
C592994,10050,KITCHENWARE ITEM 50,-4,2023-02-24 11:00:00,57.04,102988,Australia,-228.16
C597834,10069,GIFTS ITEM 69,-14,2023-02-25 09:00:00,27.5,103135,Germany,-385.0
C597834,10020,BAGS ITEM 20,-4,2023-02-25 09:00:00,21.71,103135,Germany,-86.84
C599111,10012,LIGHTING ITEM 12,-4,2023-02-25 15:00:00,47.86,103188,United Kingdom,-191.44
C599111,10042,BAGS ITEM 42,-9,2023-02-25 15:00:00,39.61,103188,United Kingdom,-356.49
C599111,10062,TOYS ITEM 62,-14,2023-02-25 15:00:00,66.06,103188,United Kingdom,-924.84
C543276,10106,GIFTS ITEM 106,-13,2023-02-25 17:00:00,42.04,101388,United Kingdom,-546.52
C650978,10101,STATIONERY ITEM 101,-6,2023-02-26 19:00:00,70.76,104805,United Kingdom,-424.56000000000006
C650978,10018,HOME DECOR ITEM 18,-12,2023-02-26 19:00:00,66.59,104805,United Kingdom,-799.08
C650978,10088,GIFTS ITEM 88,-4,2023-02-26 19:00:00,38.28,104805,United Kingdom,-153.12
C619781,10109,STATIONERY ITEM 109,-9,2023-02-27 12:00:00,108.65,103839,United Kingdom,-977.85
C501544,10003,LIGHTING ITEM 3,-2,2023-02-28 09:00:00,14.14,100047,Netherlands,-28.28
C501544,10008,HOME DECOR ITEM 8,-12,2023-02-28 09:00:00,66.99,100047,Netherlands,-803.8799999999999
C501544,10022,STATIONERY ITEM 22,-3,2023-02-28 09:00:00,52.19,100047,Netherlands,-156.57
C501544,10004,SEASONAL ITEM 4,-6,2023-02-28 09:00:00,51.1,100047,Netherlands,-306.6
C650455,10087,BAGS ITEM 87,-11,2023-02-28 12:00:00,30.72,104785,United Kingdom,-337.91999999999996
C650455,10113,BAGS ITEM 113,-4,2023-02-28 12:00:00,18.59,104785,United Kingdom,-74.36
C565983,10103,SEASONAL ITEM 103,-12,2023-03-02 11:00:00,10.78,102112,Netherlands,-129.35999999999999
C655336,10038,STATIONERY ITEM 38,-12,2023-03-02 13:00:00,2.58,104932,United Kingdom,-30.96
C655336,10054,BAGS ITEM 54,-3,2023-03-02 13:00:00,1.1,104932,United Kingdom,-3.3000000000000003
C655336,10046,HOME DECOR ITEM 46,-13,2023-03-02 13:00:00,57.74,104932,United Kingdom,-750.62
C647331,10097,SEASONAL ITEM 97,-4,2023-03-04 11:00:00,41.17,104679,Ireland,-164.68
C647331,10016,KITCHENWARE ITEM 16,-3,2023-03-04 11:00:00,50.53,104679,Ireland,-151.59
C647331,10028,TOYS ITEM 28,-9,2023-03-04 11:00:00,46.04,104679,Ireland,-414.36
C628790,10075,HOME DECOR ITEM 75,-5,2023-03-04 14:00:00,37.52,104138,United Kingdom,-187.60000000000002
C628790,10008,HOME DECOR ITEM 8,-4,2023-03-04 14:00:00,66.99,104138,United Kingdom,-267.96
C628790,10073,STATIONERY ITEM 73,-3,2023-03-04 14:00:00,19.32,104138,United Kingdom,-57.96
C628790,10005,BAGS ITEM 5,-9,2023-03-04 14:00:00,13.74,104138,United Kingdom,-123.66
C628790,10089,GIFTS ITEM 89,-12,2023-03-04 14:00:00,103.36,104138,United Kingdom,-1240.32
C557572,10003,LIGHTING ITEM 3,-2,2023-03-05 12:00:00,14.14,101839,United Kingdom,-28.28
C557572,10063,KITCHENWARE ITEM 63,-5,2023-03-05 12:00:00,50.18,101839,United Kingdom,-250.9
C557572,10081,STATIONERY ITEM 81,-1,2023-03-05 12:00:00,60.88,101839,United Kingdom,-60.88
C534649,10050,KITCHENWARE ITEM 50,-10,2023-03-08 17:00:00,57.04,101113,Netherlands,-570.4
C534649,10038,STATIONERY ITEM 38,-13,2023-03-08 17:00:00,2.58,101113,Netherlands,-33.54
C595175,10008,HOME DECOR ITEM 8,-14,2023-03-09 09:00:00,66.99,103057,United Kingdom,-937.8599999999999
C595175,10013,HOME DECOR ITEM 13,-12,2023-03-09 09:00:00,61.42,103057,United Kingdom,-737.04
C531723,10057,GIFTS ITEM 57,-4,2023-03-09 13:00:00,9.82,101020,France,-39.28
C531723,10003,LIGHTING ITEM 3,-11,2023-03-09 13:00:00,14.14,101020,France,-155.54000000000002
C531723,10095,SEASONAL ITEM 95,-14,2023-03-09 13:00:00,97.53,101020,France,-1365.42
C627218,10091,GIFTS ITEM 91,-5,2023-03-10 11:00:00,52.33,104087,Sweden,-261.65
C627218,10037,SEASONAL ITEM 37,-14,2023-03-10 11:00:00,40.36,104087,Sweden,-565.04
C627218,10097,SEASONAL ITEM 97,-7,2023-03-10 11:00:00,41.17,104087,Sweden,-288.19
C613388,10045,SEASONAL ITEM 45,0,2023-03-10 15:00:00,20.64,103643,Germany,0.0
C655497,10112,TOYS ITEM 112,0,2023-03-10 19:00:00,68.05,104939,United Kingdom,0.0
C655497,10036,GIFTS ITEM 36,-2,2023-03-10 19:00:00,4.15,104939,United Kingdom,-8.3
C655497,10072,GIFTS ITEM 72,-3,2023-03-10 19:00:00,23.2,104939,United Kingdom,-69.6
C655497,10118,TOYS ITEM 118,-5,2023-03-10 19:00:00,76.88,104939,United Kingdom,-384.4
C650458,10118,TOYS ITEM 118,-11,2023-03-11 19:00:00,76.88,104785,United Kingdom,-845.68
C605849,10069,GIFTS ITEM 69,-2,2023-03-12 18:00:00,27.5,103403,United Kingdom,-55.0
C605849,10014,TOYS ITEM 14,-5,2023-03-12 18:00:00,9.02,103403,United Kingdom,-45.099999999999994
C605849,10094,KITCHENWARE ITEM 94,-11,2023-03-12 18:00:00,49.17,103403,United Kingdom,-540.87
C614528,10079,KITCHENWARE ITEM 79,-1,2023-03-14 17:00:00,64.98,103671,Germany,-64.98
C614528,10047,HOME DECOR ITEM 47,-3,2023-03-14 17:00:00,65.32,103671,Germany,-195.95999999999998
C523651,10016,KITCHENWARE ITEM 16,-11,2023-03-15 11:00:00,50.53,100780,United Kingdom,-555.83
C523651,10084,KITCHENWARE ITEM 84,-1,2023-03-15 11:00:00,25.51,100780,United Kingdom,-25.51
C568410,10012,LIGHTING ITEM 12,-10,2023-03-15 13:00:00,47.86,102185,United Kingdom,-478.6
C568410,10015,BAGS ITEM 15,-5,2023-03-15 13:00:00,83.09,102185,United Kingdom,-415.45000000000005
C568410,10040,TOYS ITEM 40,-9,2023-03-15 13:00:00,108.38,102185,United Kingdom,-975.42
C568410,10065,HOME DECOR ITEM 65,-14,2023-03-15 13:00:00,18.38,102185,United Kingdom,-257.32
C568410,10023,STATIONERY ITEM 23,-7,2023-03-15 13:00:00,12.4,102185,United Kingdom,-86.8
C581390,10093,HOME DECOR ITEM 93,-4,2023-03-15 18:00:00,80.77,102616,United Kingdom,-323.08
C581390,10101,STATIONERY ITEM 101,-7,2023-03-15 18:00:00,70.76,102616,United Kingdom,-495.32000000000005
C581390,10019,TOYS ITEM 19,-13,2023-03-15 18:00:00,13.85,102616,United Kingdom,-180.04999999999998
C581390,10062,TOYS ITEM 62,-3,2023-03-15 18:00:00,66.06,102616,United Kingdom,-198.18
C518544,10094,KITCHENWARE ITEM 94,-13,2023-03-17 17:00:00,49.17,100591,United Kingdom,-639.21
C518544,10005,BAGS ITEM 5,-4,2023-03-17 17:00:00,13.74,100591,United Kingdom,-54.96
C549199,10050,KITCHENWARE ITEM 50,-12,2023-03-19 08:00:00,57.04,101575,Ireland,-684.48
C549199,10023,STATIONERY ITEM 23,-6,2023-03-19 08:00:00,12.4,101575,Ireland,-74.4
C549199,10020,BAGS ITEM 20,-5,2023-03-19 08:00:00,21.71,101575,Ireland,-108.55000000000001
C592703,10093,HOME DECOR ITEM 93,-5,2023-03-20 13:00:00,80.77,102977,United Kingdom,-403.84999999999997
C592703,10103,SEASONAL ITEM 103,-10,2023-03-20 13:00:00,10.78,102977,United Kingdom,-107.8
C592703,10082,LIGHTING ITEM 82,-6,2023-03-20 13:00:00,26.42,102977,United Kingdom,-158.52
C592703,10106,GIFTS ITEM 106,-13,2023-03-20 13:00:00,42.04,102977,United Kingdom,-546.52
C606554,10036,GIFTS ITEM 36,-4,2023-03-20 14:00:00,4.15,103425,France,-16.6
C606554,10069,GIFTS ITEM 69,-12,2023-03-20 14:00:00,27.5,103425,France,-330.0
C563999,10111,KITCHENWARE ITEM 111,-8,2023-03-20 18:00:00,40.83,102053,Netherlands,-326.64
C563999,10058,TOYS ITEM 58,-7,2023-03-20 18:00:00,38.5,102053,Netherlands,-269.5
C563999,10044,BAGS ITEM 44,-3,2023-03-20 18:00:00,81.71,102053,Netherlands,-245.13
C563999,10117,LIGHTING ITEM 117,-12,2023-03-20 18:00:00,89.37,102053,Netherlands,-1072.44
C508092,10008,HOME DECOR ITEM 8,-1,2023-03-21 09:00:00,66.99,100263,United Kingdom,-66.99
C522516,10014,TOYS ITEM 14,-2,2023-03-21 14:00:00,9.02,100741,France,-18.04
C522516,10071,KITCHENWARE ITEM 71,-5,2023-03-21 14:00:00,51.33,100741,France,-256.65
C522516,10024,GIFTS ITEM 24,-7,2023-03-21 14:00:00,80.63,100741,France,-564.41
C522516,10018,HOME DECOR ITEM 18,-13,2023-03-21 14:00:00,66.59,100741,France,-865.6700000000001
C585921,10088,GIFTS ITEM 88,-8,2023-03-21 16:00:00,38.28,102746,France,-306.24
C585921,10105,HOME DECOR ITEM 105,-12,2023-03-21 16:00:00,31.56,102746,France,-378.71999999999997
C630097,10010,STATIONERY ITEM 10,-4,2023-03-22 19:00:00,43.75,104178,United Kingdom,-175.0
C630097,10041,KITCHENWARE ITEM 41,-12,2023-03-22 19:00:00,43.3,104178,United Kingdom,-519.5999999999999
C630097,10049,HOME DECOR ITEM 49,-14,2023-03-22 19:00:00,55.99,104178,United Kingdom,-783.86
C630097,10113,BAGS ITEM 113,-3,2023-03-22 19:00:00,18.59,104178,United Kingdom,-55.769999999999996
C655229,10011,BAGS ITEM 11,-4,2023-03-23 11:00:00,28.01,104929,United Kingdom,-112.04
C655229,10089,GIFTS ITEM 89,-12,2023-03-23 11:00:00,103.36,104929,United Kingdom,-1240.32
C655229,10093,HOME DECOR ITEM 93,-10,2023-03-23 11:00:00,80.77,104929,United Kingdom,-807.6999999999999
C607886,10016,KITCHENWARE ITEM 16,-13,2023-03-23 15:00:00,50.53,103468,United Kingdom,-656.89
C607886,10070,LIGHTING ITEM 70,-5,2023-03-23 15:00:00,73.32,103468,United Kingdom,-366.59999999999997
C607886,10109,STATIONERY ITEM 109,-3,2023-03-23 15:00:00,108.65,103468,United Kingdom,-325.95000000000005
C607886,10021,STATIONERY ITEM 21,-9,2023-03-23 15:00:00,89.85,103468,United Kingdom,-808.65
C607886,10026,LIGHTING ITEM 26,-12,2023-03-23 15:00:00,61.25,103468,United Kingdom,-735.0
C622489,10084,KITCHENWARE ITEM 84,-10,2023-03-24 13:00:00,25.51,103923,United Kingdom,-255.10000000000002
C622489,10036,GIFTS ITEM 36,-9,2023-03-24 13:00:00,4.15,103923,United Kingdom,-37.35
C622489,10007,KITCHENWARE ITEM 7,-2,2023-03-24 13:00:00,5.76,103923,United Kingdom,-11.52
C572180,10104,HOME DECOR ITEM 104,-8,2023-03-24 15:00:00,63.01,102320,United Kingdom,-504.08
C572180,10067,KITCHENWARE ITEM 67,-2,2023-03-24 15:00:00,36.0,102320,United Kingdom,-72.0
C625222,10101,STATIONERY ITEM 101,-13,2023-03-24 16:00:00,70.76,104011,United Kingdom,-919.8800000000001
C625222,10004,SEASONAL ITEM 4,-13,2023-03-24 16:00:00,51.1,104011,United Kingdom,-664.3000000000001
C541595,10100,GIFTS ITEM 100,-1,2023-03-25 12:00:00,21.8,101326,France,-21.8
C598240,10000,LIGHTING ITEM 0,-13,2023-03-28 12:00:00,69.61,103152,United Kingdom,-904.93
C598240,10027,TOYS ITEM 27,-3,2023-03-28 12:00:00,45.04,103152,United Kingdom,-135.12
C598240,10087,BAGS ITEM 87,-9,2023-03-28 12:00:00,30.72,103152,United Kingdom,-276.48
C598240,10083,LIGHTING ITEM 83,-8,2023-03-28 12:00:00,53.72,103152,United Kingdom,-429.76
C600577,10098,SEASONAL ITEM 98,-12,2023-03-30 10:00:00,22.32,103239,Ireland,-267.84000000000003
C600577,10077,BAGS ITEM 77,-7,2023-03-30 10:00:00,53.81,103239,Ireland,-376.67
C628771,10081,STATIONERY ITEM 81,-8,2023-03-31 09:00:00,60.88,104137,United Kingdom,-487.04
C650461,10006,BAGS ITEM 6,-14,2023-03-31 19:00:00,22.16,104785,United Kingdom,-310.24
C650461,10068,LIGHTING ITEM 68,-7,2023-03-31 19:00:00,20.58,104785,United Kingdom,-144.06
C548267,10029,SEASONAL ITEM 29,-6,2023-04-02 12:00:00,13.81,101541,Spain,-82.86
C559699,10053,TOYS ITEM 53,-11,2023-04-05 11:00:00,105.31,101913,Spain,-1158.41
C559699,10078,GIFTS ITEM 78,-10,2023-04-05 11:00:00,48.18,101913,Spain,-481.8
C559699,10020,BAGS ITEM 20,-11,2023-04-05 11:00:00,21.71,101913,Spain,-238.81
C559699,10015,BAGS ITEM 15,-9,2023-04-05 11:00:00,83.09,101913,Spain,-747.8100000000001
C604957,10026,LIGHTING ITEM 26,-8,2023-04-05 14:00:00,61.25,103380,United Kingdom,-490.0
C604957,10023,STATIONERY ITEM 23,-11,2023-04-05 14:00:00,12.4,103380,United Kingdom,-136.4
C604957,10095,SEASONAL ITEM 95,-13,2023-04-05 14:00:00,97.53,103380,United Kingdom,-1267.89
C604957,10007,KITCHENWARE ITEM 7,-14,2023-04-05 14:00:00,5.76,103380,United Kingdom,-80.64
C564178,10030,SEASONAL ITEM 30,-4,2023-04-06 09:00:00,3.75,102057,United Kingdom,-15.0
C564178,10019,TOYS ITEM 19,-8,2023-04-06 09:00:00,13.85,102057,United Kingdom,-110.8
C564178,10102,GIFTS ITEM 102,-13,2023-04-06 09:00:00,47.47,102057,United Kingdom,-617.11
C564178,10061,TOYS ITEM 61,-13,2023-04-06 09:00:00,43.8,102057,United Kingdom,-569.4
C564178,10071,KITCHENWARE ITEM 71,-12,2023-04-06 09:00:00,51.33,102057,United Kingdom,-615.96
C563421,10007,KITCHENWARE ITEM 7,-10,2023-04-07 11:00:00,5.76,102034,United Kingdom,-57.599999999999994
C563421,10063,KITCHENWARE ITEM 63,-1,2023-04-07 11:00:00,50.18,102034,United Kingdom,-50.18
C646597,10082,LIGHTING ITEM 82,-9,2023-04-07 14:00:00,26.42,104663,United Kingdom,-237.78000000000003
C646597,10083,LIGHTING ITEM 83,-11,2023-04-07 14:00:00,53.72,104663,United Kingdom,-590.92
C646597,10015,BAGS ITEM 15,-9,2023-04-07 14:00:00,83.09,104663,United Kingdom,-747.8100000000001
C646597,10030,SEASONAL ITEM 30,-10,2023-04-07 14:00:00,3.75,104663,United Kingdom,-37.5
C597092,10064,LIGHTING ITEM 64,-9,2023-04-07 16:00:00,42.93,103118,Germany,-386.37
C597092,10087,BAGS ITEM 87,-7,2023-04-07 16:00:00,30.72,103118,Germany,-215.04
C626717,10018,HOME DECOR ITEM 18,-1,2023-04-08 11:00:00,66.59,104070,Ireland,-66.59
C569304,10053,TOYS ITEM 53,-9,2023-04-08 12:00:00,105.31,102217,Germany,-947.79
C569304,10092,TOYS ITEM 92,-12,2023-04-08 12:00:00,55.51,102217,Germany,-666.12
C569304,10050,KITCHENWARE ITEM 50,-8,2023-04-08 12:00:00,57.04,102217,Germany,-456.32
C569304,10035,BAGS ITEM 35,-14,2023-04-08 12:00:00,55.33,102217,Germany,-774.62
C630019,10065,HOME DECOR ITEM 65,-5,2023-04-08 14:00:00,18.38,104174,United Kingdom,-91.89999999999999
C567591,10008,HOME DECOR ITEM 8,-5,2023-04-09 09:00:00,66.99,102157,France,-334.95
C567591,10014,TOYS ITEM 14,-2,2023-04-09 09:00:00,9.02,102157,France,-18.04
C567591,10041,KITCHENWARE ITEM 41,-12,2023-04-09 09:00:00,43.3,102157,France,-519.5999999999999
C567591,10098,SEASONAL ITEM 98,-1,2023-04-09 09:00:00,22.32,102157,France,-22.32
C567591,10031,SEASONAL ITEM 31,-8,2023-04-09 09:00:00,64.62,102157,France,-516.96
C628528,10101,STATIONERY ITEM 101,-11,2023-04-09 12:00:00,70.76,104131,Spain,-778.36
C588092,10090,HOME DECOR ITEM 90,-8,2023-04-10 12:00:00,24.5,102818,United Kingdom,-196.0
C634219,10023,STATIONERY ITEM 23,-12,2023-04-11 19:00:00,12.4,104295,United Kingdom,-148.8
C634219,10013,HOME DECOR ITEM 13,-3,2023-04-11 19:00:00,61.42,104295,United Kingdom,-184.26
C588093,10045,SEASONAL ITEM 45,-8,2023-04-14 16:00:00,20.64,102818,United Kingdom,-165.12
C588093,10057,GIFTS ITEM 57,-12,2023-04-14 16:00:00,9.82,102818,United Kingdom,-117.84
C588093,10025,STATIONERY ITEM 25,-1,2023-04-14 16:00:00,35.34,102818,United Kingdom,-35.34
C588093,10043,KITCHENWARE ITEM 43,-8,2023-04-14 16:00:00,50.56,102818,United Kingdom,-404.48
C587776,10058,TOYS ITEM 58,-1,2023-04-14 18:00:00,38.5,102806,Ireland,-38.5
C587776,10098,SEASONAL ITEM 98,-10,2023-04-14 18:00:00,22.32,102806,Ireland,-223.2
C587776,10093,HOME DECOR ITEM 93,-7,2023-04-14 18:00:00,80.77,102806,Ireland,-565.39
C587776,10112,TOYS ITEM 112,-6,2023-04-14 18:00:00,68.05,102806,Ireland,-408.29999999999995
C600839,10030,SEASONAL ITEM 30,-13,2023-04-15 09:00:00,3.75,103245,United Kingdom,-48.75
C600839,10118,TOYS ITEM 118,-12,2023-04-15 09:00:00,76.88,103245,United Kingdom,-922.56
C624632,10089,GIFTS ITEM 89,-7,2023-04-15 19:00:00,103.36,103992,United Kingdom,-723.52
C624632,10017,BAGS ITEM 17,-5,2023-04-15 19:00:00,66.17,103992,United Kingdom,-330.85
C624632,10105,HOME DECOR ITEM 105,-12,2023-04-15 19:00:00,31.56,103992,United Kingdom,-378.71999999999997
C624632,10021,STATIONERY ITEM 21,-4,2023-04-15 19:00:00,89.85,103992,United Kingdom,-359.4
C624632,10071,KITCHENWARE ITEM 71,-6,2023-04-15 19:00:00,51.33,103992,United Kingdom,-307.98
C521839,10112,TOYS ITEM 112,-11,2023-04-16 12:00:00,68.05,100715,Australia,-748.55
C641404,10009,STATIONERY ITEM 9,-4,2023-04-16 14:00:00,15.49,104506,United Kingdom,-61.96
