ds,y
2024-01-10,194729.28
2024-01-11,199874.25
2024-01-12,216397.19
2024-01-13,207197.25
2024-01-14,212615.76
2024-01-15,265661.63
2024-01-16,239812.12
2024-01-17,230322.51
2024-01-18,264391.07
2024-01-19,231246.55
2024-01-20,209491.91
2024-01-21,232435.56
2024-01-22,208402.61
2024-01-23,222592.22
2024-01-24,218739.71
2024-01-25,221206.45
2024-01-26,208703.42
2024-01-27,203027.96
2024-01-28,224106.8
2024-01-29,256778.14
2024-01-30,250415.13
2024-01-31,228101.22
2024-02-01,245448.08
2024-02-02,229372.54
2024-02-03,227419.23
2024-02-04,218749.07
2024-02-05,263800.91
2024-02-06,240876.36
2024-02-07,216793.78
2024-02-08,230770.22
2024-02-09,232978.84
2024-02-10,230904.6
2024-02-11,231570.35
2024-02-12,241666.78
2024-02-13,237315.1
2024-02-14,244302.15
2024-02-15,220020.65
2024-02-16,252761.28
2024-02-17,241564.37
2024-02-18,237463.21
2024-02-19,228034.07
2024-02-20,255899.37
2024-02-21,259132.18
2024-02-22,247533.59
2024-02-23,222881.76
2024-02-24,237554.94
2024-02-25,264285.47
2024-02-26,250255.87
2024-02-27,248813.27
2024-02-28,238783.65
2024-02-29,211149.33
2024-03-01,270530.29
2024-03-02,252515.34
2024-03-03,250154.56
2024-03-04,261876.73
2024-03-05,247765.7
2024-03-06,234184.02
2024-03-07,227909.57
2024-03-08,254748.63
2024-03-09,254814.44
2024-03-10,222284.59
2024-03-11,237828.37
2024-03-12,270967.86
2024-03-13,272266.1
2024-03-14,239538.99
2024-03-15,234384.95
2024-03-16,292895.74
2024-03-17,199806.52
2024-03-18,245394.47
2024-03-19,248910.39
2024-03-20,245164.39
2024-03-21,259280.83
2024-03-22,258012.64
2024-03-23,263409.42
2024-03-24,266343.04
2024-03-25,289069.12
2024-03-26,230094.69
2024-03-27,274355.12
2024-03-28,241477.81
2024-03-29,248579.78
2024-03-30,279291.41
2024-03-31,256671.47
2024-04-01,255282.86
2024-04-02,234349.84
2024-04-03,250563.06
2024-04-04,250632.74
2024-04-05,270689.22
2024-04-06,236340.28
2024-04-07,244055.54
2024-04-08,223771.22
2024-04-09,250586.11
2024-04-10,235931.33
2024-04-11,237118.84
2024-04-12,271337.35
2024-04-13,273208.33
2024-04-14,243662.14
2024-04-15,256058.95
2024-04-16,247780.11
2024-04-17,241508.99
2024-04-18,259277.27
2024-04-19,270571.51
2024-04-20,253320.82
2024-04-21,277221.04
2024-04-22,277638.15
2024-04-23,257937.83
2024-04-24,246162.57
2024-04-25,241329.64
2024-04-26,276353.08
2024-04-27,283656.48
2024-04-28,270465.98
2024-04-29,270903.04
2024-04-30,273532.54
2024-05-01,262024.31
2024-05-02,270144.12
2024-05-03,284769.5
2024-05-04,248805.03
2024-05-05,243831.41
2024-05-06,290759.65
2024-05-07,305579.41
2024-05-08,273089.49
2024-05-09,256578.16
2024-05-10,295850.61
2024-05-11,277520.98
2024-05-12,240058.15
2024-05-13,278360.28
2024-05-14,241199.72
2024-05-15,291883.57
2024-05-16,255108.38
2024-05-17,260698.84
2024-05-18,257332.35
2024-05-19,257867.51
2024-05-20,281262.58
2024-05-21,273883.68
2024-05-22,302741.14
2024-05-23,249183.31
2024-05-24,287399.09
2024-05-25,320421.97
2024-05-26,276191.28
2024-05-27,286322.2
2024-05-28,287671.32
2024-05-29,260664.25
2024-05-30,264046.81
2024-05-31,272263.75
2024-06-01,277753.92
2024-06-02,303287.25
2024-06-03,285852.79
2024-06-04,262440.25
2024-06-05,268256.52
2024-06-06,275452.62
2024-06-07,276303.73
2024-06-08,245417.93
2024-06-09,270506.96
2024-06-10,263511.12
2024-06-11,256668.88
2024-06-12,291921.14
2024-06-13,276262.84
2024-06-14,263263.23
2024-06-15,244691.14
2024-06-16,279045.59
2024-06-17,284793.5
2024-06-18,240417.18
2024-06-19,280655.51
2024-06-20,261166.95
2024-06-21,252630.2
2024-06-22,282893.19
2024-06-23,268799.3
2024-06-24,342066.51
2024-06-25,289129.53
2024-06-26,293866.67
2024-06-27,266336.98
2024-06-28,288199.6
2024-06-29,280422.09
2024-06-30,306277.33
2024-07-01,274177.02
2024-07-02,281124.52
2024-07-03,295729.62
2024-07-04,266726.35
2024-07-05,312437.41
2024-07-06,300598.31
2024-07-07,280198.4
2024-07-08,311419.52
2024-07-09,294362.97
2024-07-10,290197.81
2024-07-11,289276.38
2024-07-12,301595.06
2024-07-13,305615.2
2024-07-14,287313.89
2024-07-15,256547.36
2024-07-16,287258.11
2024-07-17,272608.49
2024-07-18,277176.89
2024-07-19,260152.42
2024-07-20,279108.0
2024-07-21,301948.18
2024-07-22,287723.93
2024-07-23,274034.99
2024-07-24,279781.7
2024-07-25,261561.62
2024-07-26,285166.58
2024-07-27,253643.05
2024-07-28,286719.3
2024-07-29,291695.32
2024-07-30,281237.97
2024-07-31,275353.59
2024-08-01,275278.7
2024-08-02,296409.18
2024-08-03,298870.4
2024-08-04,291443.73
2024-08-05,269201.25
2024-08-06,268603.19
2024-08-07,272266.82
2024-08-08,262794.81
2024-08-09,273051.02
2024-08-10,256527.67
2024-08-11,295840.49
2024-08-12,250253.63
2024-08-13,280787.72
2024-08-14,309066.24
2024-08-15,315596.85
2024-08-16,247343.6
2024-08-17,292667.02999999997
2024-08-18,336226.13
2024-08-19,298490.68
2024-08-20,310244.45
2024-08-21,292259.48
2024-08-22,274256.47
2024-08-23,273351.83
2024-08-24,298394.58
2024-08-25,298992.58
2024-08-26,313623.76
2024-08-27,288215.64
2024-08-28,270646.37
2024-08-29,272765.12
2024-08-30,255042.75
2024-08-31,297317.82
2024-09-01,263551.65
2024-09-02,283894.2
2024-09-03,291616.47
2024-09-04,276871.82
2024-09-05,300392.31
2024-09-06,299008.38
2024-09-07,313766.51
2024-09-08,308773.97
2024-09-09,299268.9
2024-09-10,329070.29
2024-09-11,300137.14
2024-09-12,367712.28
2024-09-13,303327.52
2024-09-14,275985.81
2024-09-15,279269.52
2024-09-16,324498.08
2024-09-17,264740.22000000003
2024-09-18,307609.92
2024-09-19,285789.62
2024-09-20,307188.65
2024-09-21,320824.52
2024-09-22,320003.0
2024-09-23,322639.58
2024-09-24,313930.07
2024-09-25,304353.42
2024-09-26,301608.18
2024-09-27,293877.41
2024-09-28,291422.8
2024-09-29,301675.18
2024-09-30,305973.69
2024-10-01,296144.16
2024-10-02,261212.01
2024-10-03,296199.72
2024-10-04,312298.34
2024-10-05,306227.16
2024-10-06,337475.04
2024-10-07,279220.94
2024-10-08,307217.3
2024-10-09,323439.29
2024-10-10,290784.43
2024-10-11,292459.12
2024-10-12,293980.63
2024-10-13,270949.46
2024-10-14,314046.19
2024-10-15,301766.1
2024-10-16,326273.54
2024-10-17,274566.06
2024-10-18,295091.85
2024-10-19,319105.04
2024-10-20,333797.15
2024-10-21,292678.86
2024-10-22,300891.26
2024-10-23,323892.74
2024-10-24,301351.7
2024-10-25,298940.74
2024-10-26,309182.26
2024-10-27,321386.11
2024-10-28,307287.51
2024-10-29,339580.46
2024-10-30,279161.47
2024-10-31,298244.92
2024-11-01,273659.48
2024-11-02,289820.45
2024-11-03,297942.21
2024-11-04,332083.36
2024-11-05,277439.55
2024-11-06,310995.38
2024-11-07,352749.33
2024-11-08,312729.86
2024-11-09,302818.58
2024-11-10,298171.65
2024-11-11,288732.47000000003
2024-11-12,329715.77
2024-11-13,299238.81
2024-11-14,289539.87
2024-11-15,312413.86
2024-11-16,271201.34
2024-11-17,296861.78
2024-11-18,299048.67
2024-11-19,317820.71
2024-11-20,294207.72000000003
2024-11-21,302575.72
2024-11-22,269409.35
2024-11-23,282852.72
2024-11-24,304092.81
2024-11-25,307624.02
2024-11-26,298862.44
2024-11-27,295257.6
2024-11-28,278173.43
2024-11-29,307294.78
2024-11-30,296588.42
2024-12-01,300502.85
2024-12-02,280735.17
2024-12-03,321719.76
2024-12-04,262117.74
2024-12-05,283358.42
2024-12-06,292759.45
2024-12-07,267483.41
2024-12-08,286246.96
2024-12-09,291303.06
2024-12-10,290872.77
2024-12-11,324173.12
2024-12-12,297639.7
2024-12-13,320374.64
2024-12-14,300992.48
2024-12-15,268829.13
2024-12-16,306112.9
2024-12-17,284212.21
2024-12-18,258541.73
2024-12-19,298540.35
2024-12-20,315565.85
2024-12-21,269145.71
2024-12-22,279529.85
2024-12-23,309763.21
2024-12-24,302115.27
2024-12-25,263551.56
2024-12-26,245806.99
2024-12-27,285811.81
2024-12-28,294000.01
2024-12-29,333438.46
2024-12-30,263961.77
2024-12-31,316274.24
